name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
Moth Club,HACKNEY,www.mothclub.co.uk,100023022302,E09000012,Homerton,E05009376,Hackney Trades Hall Valette Street,Hackney,,535006.0,184765.0,-0.05283064783338017,51.545130588780204,11/27/2022
Her Majesty's Theatre,CITY OF WESTMINSTER,www.reallyusefultheatres.co.uk/our-theatres/her-majestys,100023349365,E09000033,St. James's,E05000644,Haymarket City Of Westminster,,,529733.0,180453.0,-0.13042617778723892,51.507612831550354,11/27/2022
King's College,CITY OF WESTMINSTER,,100022807697,E09000033,St. James's,E05000644,Strand City Of Westminster,,,530818.0,180869.0,-0.1146450114741382,51.5111015012517,11/27/2022
Peacock Theatre,CITY OF WESTMINSTER,www.peacocktheatre.com,100023430213,E09000033,St. James's,E05000644,Portugal Street City Of Westminster,,,530687.0,181201.0,-0.11640879304807356,51.51411571307505,11/27/2022
Picadilly Theatre,CITY OF WESTMINSTER,www.piccadillytheatre.co.uk,100023472891,E09000033,West End,E05000649,16 Denman Street,City Of Westminster,,529491.0,180773.0,-0.13379409272346907,51.51054441839087,11/27/2022
Queen's Theatre,CITY OF WESTMINSTER,www.queenstheatre.co.uk,100023472885,E09000033,West End,E05000649,51 Shaftesbury Avenue,City Of Westminster,,529660.0,180883.0,-0.13131941975979194,51.511494302687964,11/27/2022
Rays Jazz At Foyles,CITY OF WESTMINSTER,www.foyles.co.uk/events,100023431365,E09000033,West End,E05000649,107 Charing Cross Road,City Of Westminster,,529838.0,181184.0,-0.12864464539582288,51.514158713042505,11/27/2022
St. John's Concert Hall,CITY OF WESTMINSTER,www.sjss.org.uk,100023339546,E09000033,St. James's,E05000644,Smith Square City Of Westminster,,,530119.0,179124.0,-0.12535706728556498,51.49557943144938,11/27/2022
Swan,HOUNSLOW,www.swaninnisleworth.co.uk,100023407007,E09000018,Isleworth,E05000362,Saracen House Swan Street,Hounslow,,516591.19999999553,175813.0,-0.3212521249326543,51.46877045712357,11/27/2022
The Albany,LEWISHAM,www.thealbany.org.uk,100023280903,E09000023,New Cross,E05000449,Albany Centre & Theatre Douglas Way,Lewisham,,537157.0,177236.0,-0.02475631723780415,51.476947689527975,11/27/2022
